Date,Close,High,Low,Open,Volume
2023-01-03,232.9482879638672,238.94749699304793,230.82862391751698,236.35140592714558,25740000
2023-01-04,222.7583770751953,226.42401047503648,219.7052947992431,225.8503455985308,50623400
2023-01-05,216.1563262939453,221.25128535832076,215.62154764960167,220.9109676292611,39585600
2023-01-06,218.70379638671875,219.51082327228505,213.27826716927703,216.8272270587664,43613600
2023-01-09,220.8331298828125,224.8390950379593,220.1427915656861,220.181677805299,27369800
2023-01-10,222.5153045654297,224.90720202339816,221.03737489705813,221.45546512498274,27033900
2023-01-11,229.2437286376953,229.41873899259986,224.71271707723938,224.88772743214392,28669300
2023-01-12,231.90786743164062,233.25939064495995,227.09488993594465,228.74782975392716,27269500
2023-01-13,232.60794067382812,232.74406478160432,228.41724688827324,230.43967280124468,21333300
2023-01-17,233.6969757080078,234.2414722028024,230.52720494179857,231.38285076871398,29831300
2023-01-18,229.2825927734375,235.6707371669467,229.00062672780834,234.88316097298835,30028700
2023-01-19,225.510009765625,229.00064735365646,224.29461063179636,227.3088064182575,28623000
2023-01-20,233.57054138183594,234.07615156759218,228.0185916995672,228.35890938614477,35389800
2023-01-23,235.8651885986328,238.38349171552287,233.01628568468104,234.42616036561182,31934000
2023-01-24,235.3401336669922,237.1972669078359,233.78443184205133,235.78740702896604,40234400
2023-01-25,233.9497528076172,236.5652941592754,224.50852565701223,227.98943061234027,66526600
2023-01-26,241.13519287109375,241.43660948835614,235.30127691453504,236.90559786802248,33454500
2023-01-27,241.290771484375,242.91454300523202,239.9975849790759,242.0977983186481,26498900
2023-01-30,235.9916534423828,238.80165597851493,235.4957610418544,237.74181653285473,25867400
2023-01-31,240.950439453125,241.08656355946167,236.22496713827303,236.7111267803919,26541100
2023-02-01,245.7537078857422,248.11643670951443,238.67522443009082,241.1351911203326,31259900
2023-02-02,257.27569580078125,257.3632009780913,250.12914292548695,251.6556913662783,39940400
2023-02-03,251.19869995117188,256.8867738555353,249.9833008123263,252.3557623051793,29077300
2023-02-06,249.6623992919922,251.15004653464848,247.72749350962195,250.3138662354951,22518000
2023-02-07,260.15374755859375,261.33024559426707,252.88078856760495,253.31834411841427,50841400
2023-02-08,259.3467712402344,269.09913389839613,258.8411461479816,265.63767911484825,54686000
2023-02-09,256.32281494140625,266.3960585481187,255.525505975814,266.2210185187912,42375100
2023-02-10,255.81719970703125,256.77978626583,253.44473837157508,254.2906513684381,25818500
2023-02-13,263.8096618652344,266.99886776795535,259.75507760072225,260.23153420322126,44630900
2023-02-14,264.63616943359375,267.3586517330217,261.8261522809417,265.12232910655104,37047900
2023-02-15,262.5209655761719,263.8953733913227,259.46022127566107,261.54621079213484,28922400
2023-02-16,255.53196716308594,260.006088165567,255.28827846089968,257.35475389589425,29603600
2023-02-17,251.5452423095703,253.5239935288887,249.53724963369683,252.8416829602165,30000100
2023-02-21,246.29124450683594,249.04005963500097,245.2385077475541,248.0555479638784,28397400
2023-02-22,245.16053771972656,247.9190951759008,244.0200765591585,247.6754065123544,22491100
2023-02-23,248.3382568359375,250.35599131241563,244.15655088158258,249.1083064975943,29219100
2023-02-24,242.9283447265625,244.66340673985152,241.83662432455813,243.6496684913582,24990900
2023-02-27,243.84463500976562,246.4374860355747,243.09406973943646,246.08657375483682,21190000
2023-02-28,243.12330627441406,245.14105556625483,242.4507231771338,242.7821510664902,22491000
2023-03-01,240.05284118652344,244.59518672884,239.58494822729267,244.4294802167035,27565300
2023-03-02,244.77066040039062,245.0533327272031,239.4095093951341,240.32578121944115,24808200
2023-03-03,248.84507751464844,249.1667482945005,245.04354079562174,245.8233473946352,30760100
2023-03-06,250.38523864746094,253.55319146823706,249.51770754686837,249.9563441934913,24109800
2023-03-07,247.73388671875,251.18452648625785,246.99307854410944,249.82960325303648,21473200
2023-03-08,247.29525756835938,248.11404792403098,244.47821715829852,247.62667058752513,17340200
2023-03-09,245.95010375976562,253.00731800229747,245.22877995450497,249.36174508099094,26653400
2023-03-10,242.3142547607422,246.40822131411622,241.34925717678098,244.74139919259653,28333900
2023-03-13,247.5097198486328,251.39899658512076,239.52647621107045,241.1543148292338,33339700
2023-03-14,254.2062225341797,254.47915259157097,249.40067533893588,250.26820620855233,33620300
2023-03-15,258.7388916015625,259.7526448252449,252.66615907277222,253.41673923474747,46028000
2023-03-16,269.2272644042969,269.57816182335324,256.6334203873444,258.514689849532,54768800
2023-03-17,272.3756408691406,276.1771774428226,269.34416867421294,271.2351947706092,69527400
2023-03-20,265.35748291015625,270.47494508940247,263.0375619626868,269.98756773899805,43466600
2023-03-21,266.86834716796875,268.0575491212291,262.7158825243108,267.94058331388436,34558700
2023-03-22,265.41595458984375,273.9450578612845,265.3087161087697,266.4979179833595,34873300
2023-03-23,270.6503601074219,273.9645197282161,268.2524721711086,270.9232901997897,36610900
2023-03-24,273.4869384765625,273.54542137989336,268.3304776871036,270.24098860593506,28172000
2023-03-27,269.4027099609375,274.35445077052975,268.56440544663616,273.41869458351096,26840200
2023-03-28,268.28173828125,269.1687685997756,265.18199582572424,268.8275985161655,21878600
2023-03-29,273.4284973144531,274.0425976403278,271.38150614392333,271.9176094220145,25087000
2023-03-30,276.879150390625,277.27880351683683,274.37405260739644,277.05462890134504,25053400
2023-03-31,281.0217590332031,281.96727225154604,275.8555711889492,276.5671528059377,32766000
2023-04-03,279.978759765625,280.9924830784479,276.7815660353918,279.28666261801845,24883300
2023-04-04,279.9300537109375,283.1175206876223,278.4581943099055,279.9788092952923,25824300
2023-04-05,277.1617431640625,279.90080144519544,275.77760817176124,278.6336322553814,22064800
2023-04-06,284.23846435546875,284.7063275533511,274.91005513471964,276.0602584923825,29770300
2023-04-10,282.0842590332031,282.28894917802717,277.52238471849756,281.90878059048885,23103000
2023-04-11,275.6899108886719,278.7604125725099,274.5299799435266,278.53620824010255,27276600
2023-04-12,276.33319091796875,279.7643463826104,274.8418174679427,277.6003898328518,27403400
2023-04-13,282.52288818359375,282.58137108364906,276.02129123451107,276.4306715348985,24222700
2023-04-14,278.9163513183594,281.1972739689878,276.5281901717606,279.75462616341997,20987900
2023-04-17,281.50909423828125,284.2384247499491,278.93575776704006,282.61057160840295,23836200
2023-04-18,281.0899963378906,284.39442891149264,279.76434427989847,284.2092231464568,20161800
2023-04-19,281.16796875,281.75279769664104,277.3566747962618,278.7700510801762,17150300
2023-04-20,278.8870849609375,281.73338210050423,277.88308869454204,278.0488101013178,23244400
2023-04-21,278.5458984375,279.04300308117706,275.91404898236954,277.8148324496472,21676400
2023-04-24,274.6566467285156,277.75638957147896,271.6836565150722,274.9685754009273,26611000
2023-04-25,268.4669494628906,274.49092630001803,268.41819388016194,272.45369257019934,45772200
2023-04-26,287.9132995605469,292.0072813214267,285.3399625443694,289.20974000859206,64599200
2023-04-27,297.1344299316406,297.49511411918564,287.7962940057379,288.49811850361414,46462600
2023-04-28,299.50311279296875,301.1309363430766,295.65282016140077,296.33516029137365,36469600
2023-05-01,297.8460388183594,300.80930138647517,297.44638582832135,299.2204464922504,21294100
2023-05-02,297.6997985839844,301.37461262601437,296.23766672018985,299.9904777866923,26404400
2023-05-03,296.7153625488281,300.8190720296692,296.41319093308664,298.8793194485243,22360800
2023-05-04,297.6997985839844,299.9904777866923,295.7405323674121,298.50883179320516,22519900
2023-05-05,302.8075256347656,304.0942089102195,296.58858621722317,298.00199235653776,28197100
2023-05-08,300.8580627441406,302.3689505307948,298.36269283862055,302.30071055555146,21318600
2023-05-09,299.2496337890625,302.21289582093056,298.5770507991459,300.2243882965187,21340800
2023-05-10,304.4256591796875,305.0982423493034,299.90281252520236,300.82881170640417,30078000
2023-05-11,302.28118896484375,303.26570080657984,298.5284068792122,302.2714616451602,31680200
2023-05-12,301.169921875,302.8075024197668,298.85975829449876,302.7100210129512,19774700
2023-05-15,301.6475830078125,302.0764774582507,299.82479646702666,301.2966855922646,16336500
2023-05-16,303.8699645996094,305.79023219423584,302.0081798964215,302.0081798964215,26730300
2023-05-17,306.7420654296875,307.1621190650021,303.5574089684494,305.0715994717328,24315000
2023-05-18,311.1576232910156,311.6656229362175,306.468583842939,307.2598588771496,27276000
2023-05-19,310.9817810058594,311.38230770853096,309.05731504102437,309.4187579694345,27546700
2023-05-22,313.75616455078125,315.13357706437006,310.659453353748,311.23581238076383,24115700
2023-05-23,307.9729309082031,315.26048835857114,307.9631525133489,312.63266399021563,30797200
2023-05-24,306.5955505371094,309.1842914063532,305.38419212471825,307.45521463229585,23384900
2023-05-25,318.38665771484375,319.3439867931954,312.6034802135294,315.76858091079026,43301700
2023-05-26,325.19549560546875,325.69368704113634,316.3937458917175,316.53049438764276,36630600
2023-05-30,323.55426025390625,327.9795506793169,322.88020682779495,327.4813593124993,29503100
